Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
OutputProc,Yes,Yes,Yes,callback/GDI,user-defined,winuser.h,GRAYSTRINGPROC,,No,callback function
PagePaintHook,Yes,Yes,Yes,callback/shell/commdlg,user-defined,commdlg.h,LPPAGEPAINTHOOK,,No,callback function
PageSetupHook,Yes,Yes,Yes,callback/shell/commdlg,user-defined,commdlg.h,LPPAGESETUPHOOK,,No,callback function
PHONECALLBACK,Yes,Yes,No,TAPI,user-defined,tapi.h,,,,callback function
PreprocessMessage,Yes,Yes,No,MAPI,user-defined,mapispi.h,,Since MAPI 1.0,No,callback function
PrintHookProc,Yes,Yes,Yes,callback/common dialogs,user-defined,commdlg.h,LPPRINTHOOKPROC,,No,callback function
PropEnumProc,Yes,Yes,No,callback/user,user-defined,winuser.h,PROPENUMPROC,,WinNT,callback function
PropEnumProcEx,Yes,Yes,No,callback/user,user-defined,winuser.h,PROPENUMPROCEX,,WinNT,callback function
PropSheetPageProc,Yes,Yes,Yes,callback/user,user-defined,prsht.h,LPFNPSPCALLBACK,,WinNT,callback function
PropSheetProc,Yes,Yes,Yes,callback/user,user-defined,prsht.h,PFNPROPSHEETCALLBACK,,No,callback function
RASADFunc,Yes,No,No,callback/Remote Access Service,user-defined,ras.h,,New for Windows NT 4.0,WinNT,callback function
RasDialFunc,Yes,Yes,No,callback/ras,user-defined,ras.h,,,No,callback function
RasDialFunc1,Yes,Yes,No,callback/ras,user-defined,ras.h,,,No,callback function
RasDialFunc2,Yes,No,No,RAS,user-defined,ras.h,,New for Windows NT 4.0,No,callback function
RasPBDlgFunc,Yes,No,No,RAS,user-defined,rasdlg.h,,New for Windows NT 4.0,WinNT,callback function
RemovePreprocessInfo,Yes,Yes,No,MAPI,user-defined,mapispi.h,,Since MAPI 1.0,No,callback function
SendAsyncProc,Yes,Yes,No,callback/comm,user-defined,winuser.h,SENDASYNCPROC,,No,callback function
ServiceMain,Yes,No,No,callback/services,user-defined, -,,,No,callback function
SERVICEWIZARDDLGPROC,Yes,Yes,No,MAPI,user-defined,mapiwz.h,,Since MAPI 1.0,No,callback function
SetupHookProc,Yes,Yes,Yes,callback/shell/commdlg,user-defined,commdlg.h,LPSETUPHOOKPROC,,No,callback function
ShellProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
SnmpExtensionInit,Yes,Yes,No,callback/SNMP,user-defined, -,,,No,callback function
SnmpExtensionInitEx,Yes,Yes,No,callback/SNMP,user-defined, -,,,No,callback function
SnmpExtensionQuery,Yes,Yes,No,callback/SNMP,user-defined, -,,,No,callback function
SnmpExtensionTrap,Yes,Yes,No,callback/SNMP,user-defined, -,,,No,callback function
SoundSentryProc,Yes,Yes,No,callback/access,user-defined, -,,,No,callback function
SP_FILE_CALLBACK ,Yes,Yes,No,Setup,-,setupapi.h,,New for Windows NT 4.0 ,Yes,callback function
SymbolRegisteredCallback,Yes,Yes,No,callback/kernel/exe image tools,imagehlp.lib,imagehlp.h,Windows 95: IMAGEHLP is available as a redistributable.,,No,callback function
SymEnumModulesCallback,Yes,Yes,No,callback/kernel/exe image tools,imagehlp.lib,imagehlp.h,Windows 95: IMAGEHLP is available as a redistributable.,,No,callback function
SymEnumSymbolsCallback,Yes,Yes,No,callback/kernel/exe image tools,imagehlp.lib,imagehlp.h,Windows 95: IMAGEHLP is available as a redistributable.,,No,callback function
SysMsgProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
TimeProc,Yes,Yes,No,callback/mm,user-defined,mmsystem.h,TIMECALLBACK,,No,callback function
TimerProc,Yes,No,No,callback/user/callback,user-defined,winuser.h,TIMERPROC,,No,callback function
waveInProc,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
waveOutProc,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
WindowProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,WNDPROC,,No,callback function
WIZARDENTRY,Yes,Yes,No,MAPI,user-defined,mapiwz.h,,Since MAPI 1.0,No,callback function
XPProviderInit,Yes,Yes,No,MAPI,user-defined,mapispi.h,,Since MAPI 1.0,No,callback function
MCI_BREAK,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_CAPTURE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_CLOSE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_CONFIGURE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_COPY,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_CUE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_CUT,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_DELETE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_ESCAPE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_FREEZE,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_GETDEVCAPS,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_INDEX,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_INFO,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
MCI_LIST,Yes,Yes,Yes,msg/mm, -,mmsystem.h,,,No,command message
